"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"1238",0.8167770419,0.2016293279,0.44633489932885,12000,0.628,0.4561,NA,27890,NA,0.3986,0.3802197802,0.076
"2411",0.5968028419,0.0545718433,NA,2800,0.277,NA,NA,NA,NA,NA,0.5435992579,0.11
"3816",0.6814671815,0.1283863369,0.40776286407767,8200,0.62,0.403,NA,23144,NA,0.209,0.4662068966,0.073
"6911",NA,0.0575427683,NA,NA,NA,NA,NA,NA,NA,NA,0.3327171904,NA
"3821",0.5622119816,0.1242718447,NA,5600,0.5,NA,18079,10800,16453,NA,0.4921968788,NA
"1927",0.9081163859,0.1778907243,0.65119370725034,9300,0.647,0.6676,18649,12583,14326,0.5362,0.2077028886,0.043
"348",0.4604962168,0.081955202,NA,4100,0.519,NA,NA,13620,NA,NA,0.5363278975,NA
"3124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007
"6383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2595",0.7040593627,0.1574728901,0.29767172503242,6000,0.507,0.2935,18205,11689,12149,0.1867,0.380620985,0.123
"7597",0.4337342956,0.0592234885,NA,5700,0.565,NA,NA,NA,NA,NA,0.5449016627,0.177
"2798",0.4487179487,NA,NA,NA,0.277,NA,NA,NA,NA,NA,0.5,0.175
"4717",0.6440677966,0.1012024048,0.5669,6300,0.652,0.5141,NA,16000,NA,0.3662,0.4125,0.109
"2914",0.8162839248,0.1988130564,0.54461875,15800,0.851,0.4528,NA,10440,NA,0.3571,0.4006309148,0.034
"5151",0.4978902954,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472,0.107
"5148",NA,NA,NA,NA,NA,NA,NA,NA,4305,NA,0.5846153846,NA
"4143",0.9646772229,0.2044134727,0.72136067101584,13500,0.739,0.7006,NA,33023,NA,0.6309,0.1878787879,0.029
"3208",0.5111111111,0.0574712644,NA,2300,0.633,NA,NA,13550,NA,NA,0.6,0.141
"3380",0.8258362168,0.2040816327,0.60560483870967,8600,0.648,0.6006,NA,31280,NA,0.4876,0.2894736842,0.06
"2287",0.8872260823,0.1222744763,0.58119125248508,14200,0.798,0.5854,24388,29288,18205,0.2375,0.3611650485,0.041
"4316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066
"6793",0.5229885057,0.1060735672,NA,2800,0.275,NA,NA,NA,NA,NA,0.4927835052,0.185
"1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018
"3096",0.3883928571,0.0584795322,NA,1700,0.336,NA,NA,NA,NA,NA,0.4316546763,0.156
"1574",0.6725,0.1379003559,NA,3800,0.546,NA,10116,7710,6849,NA,0.5457286432,0.144
"3198",0.6711552091,0.128959276,0.45039389312977,8300,0.64,0.4479,NA,16659,NA,0.4224,0.5380530973,0.122
"990",0.375,NA,NA,1700,0.2,NA,NA,NA,NA,NA,0.5887850467,0.191
"3431",0.7514088917,0.1314055637,0.49573331130204,8000,0.631,0.4815,NA,22371,NA,NA,0.4298986486,0.01
"7569",0.1686746988,NA,NA,1900,0.11,NA,NA,NA,NA,NA,0.5747126437,0.194
"5679",0.3826815642,0.0691144708,NA,5400,0.441,NA,NA,NA,NA,NA,0.5488126649,0.3
