"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"3140",0.1135043818,0.41883183032732,7800,0.644,0.4205,19121,23319
"2263",0.1425061425,0.4968823899371,10000,0.632,0.4821,13560.7976040353,30998
"21",0.1370060571,6399.64135021097,4800,0.518,0.479596262833676,11188,7650
"296",0.0805749129,6399.64135021097,3400,0.437,0.479596262833676,12758,7272
"2939",0.1447861965,6399.64135021097,5000,0.415,0.479596262833676,12341,9206
"4049",0.1021978022,6399.64135021097,4500,0.465,0.479596262833676,12563,4105
"6811",0.0517241379,0.46153205128205,5600,0.498,0.439,13560.7976040353,15638
"5300",0.0415909334,0.20744647302904,5400,0.565,0.2083,13560.7976040353,16079
"1476",0.1271186441,0.55155560538116,8100,0.599,0.5203,13560.7976040353,33500
"5223",0.0815370778,0.33718953488372,6400,0.578,0.3294,13560.7976040353,18048
"2150",0.1724137931,0.52831509433962,21000,0.88,0.5909,13560.7976040353,13352
"1375",0.2100238663,0.48697955390334,8200,0.587,0.4815,13560.7976040353,24035
"4003",0.1061007958,0.56554554307116,3700,0.457,0.5623,21063,21735
"2218",0.1635706914,0.56900023889154,11700,0.644,0.5777,23314,20587
"5041",0.0424497197,0.32655272108843,4200,0.366,0.1115,13560.7976040353,13932
"2793",0.1150308408,0.35484731182795,7200,0.544,0.38,13560.7976040353,10764
"1318",0.1953125,6399.64135021097,4500,0.556,0.479596262833676,11800,5010
"5196",0.2190548882,0.17929876977152,9400,0.689,0.1674,13560.7976040353,6070
"3469",0.1607963247,0.84166593255333,10200,0.712,0.8408,13560.7976040353,44668
"3766",0.1735428946,0.68079447476125,9700,0.692,0.6667,13560.7976040353,36550
"2690",0.1019273536,6399.64135021097,4600,0.38,0.479596262833676,12676,8582
"3458",0.1489565843,0.82416760057471,13200,0.753,0.8231,18473,31462
"928",0.1088264794,6399.64135021097,3500,0.374,0.479596262833676,8166,4820
