"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"3980",NA,NA,NA,NA,NA,22295,NA,NA,NA,NA,NA,22244,NA,NA
"7453",0.109,0.4429472477,29200,40300,0.138946281,NA,0.515,NA,23200,NA,13800,NA,NA,NA
"3840",0.205,0.4373040752,26700,35000,0.1288088643,NA,0.48,0.5,23300,0.439,12400,NA,0.48836976744186,NA
"5164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4549",0.161,0.5309236948,21800,29800,0.102970297,NA,0.386,NA,20500,NA,11300,NA,NA,NA
"1807",0.218,0.5160706832,26900,37300,0.0591993186,3969,0.449,NA,24100,NA,11700,8325,NA,NA
"1952",0.035,0.2748655914,44300,59200,0.1838509317,NA,0.779,0.5461,36200,0.6387,27200,NA,0.64595395480225,0.64866812627291
"5513",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3421",0.04,0.3804523425,43800,57000,0.1870286576,NA,0.723,0.4454,38700,0.5914,23700,NA,0.56828464800678,0.59627614840989
"1324",0.04,0.1546391753,37600,46700,0.2081005587,NA,0.776,0.6477,32800,0.7366,26000,NA,0.66702182163187,0.64740705190989
"5643",0.135,0.5416670368,39500,52600,0.0773824334,NA,0.639,0,26600,0.1333,17800,NA,0.09678602150537,0.10475619047619
"794",0.135,0.5290456432,27500,38000,NA,10729,0.462,NA,26700,NA,14000,13015,NA,NA
"6531",0.148,0.6543949772,19100,24800,0.036944494,NA,0.247,NA,18700,NA,9700,NA,NA,NA
"4643",0.052,0.4170212766,40300,55800,0.0931034483,NA,0.705,NA,32800,0.8,21900,NA,0.57897263157894,NA
"4208",NA,0.1568627451,16300,NA,NA,1869,0.22,0.0154,NA,NA,NA,5193,0.39061015625,0.41287614678899
"2483",0.247,0.5313653137,28100,38400,0.0927536232,NA,0.55,NA,25300,NA,12600,NA,NA,NA
"3422",0.058,0.4115755627,27600,37300,0.1651917404,NA,0.521,0.2874,25600,0.4521,15200,NA,0.49114201183431,0.45333066666666
"3778",0.4,0.7063758389,21300,25400,NA,NA,0.261,NA,21300,NA,10500,NA,NA,NA
"1366",0.065,0.3779816514,36200,46800,0.2133333333,NA,0.704,0.313,34000,0.4881,22600,NA,0.50001975806451,0.35629281609195
"3998",0.113,0.4474327628,46200,63500,0.0673913043,NA,0.725,NA,45400,NA,22600,NA,NA,NA
"569",0.164,0.5340798442,29500,40100,0.1236185018,9486,0.559,NA,26800,NA,14800,13973,NA,NA
"2096",0.043,0.225250501,44000,57600,0.1347384268,NA,0.785,0.5819,39700,0.7566,27400,NA,0.70643608976329,0.71047765544041
"1605",0.176,0.3621288083,28600,39200,0.151616128,15926,0.549,0.1182,27400,0.0714,15100,19774,0.32881259204712,0.32691763602251
"2149",0.054,0.4494314782,50600,65900,0.1863905325,NA,0.802,0.1471,37400,0.3571,28900,NA,0.36953768115942,0.37577834394904
"6751",0.25,0.6382871537,16200,23500,0.0231232182,NA,0.218,NA,15600,NA,8000,NA,NA,NA
"3366",0.044,0.4634146341,47200,61300,0.2067669173,NA,0.805,NA,44400,NA,30600,NA,NA,NA
"5882",0.179,0.5607371192,19500,27400,0.0486768134,NA,0.308,NA,17800,NA,9500,NA,NA,NA
"6639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3115",0.036,0.2911392405,47500,66100,0.1738396624,NA,0.783,0.6118,53000,0.707,27300,NA,0.69267031578947,0.708124
"481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2529",0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5454",0.041,0.4991134752,36100,49200,0.1446700508,14586,0.642,0.2705,33500,0.6357,18600,21973,0.56602430086788,0.54424545454545
"2544",NA,NA,NA,NA,0.2444444444,NA,NA,0,NA,0.0909,NA,NA,NA,NA
"4749",0.263,0.6584038694,22300,30100,0.0486526946,NA,0.402,NA,20200,NA,10000,NA,NA,NA
"6332",0.109,0.4901960784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6448",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"2947",0.156,0.578125,34200,48600,NA,13506,0.623,NA,NA,NA,14600,NA,NA,NA
"2865",0.118,0.2310606061,29000,42700,0.1775362319,NA,0.52,0.6117,NA,0.6914,13000,NA,0.624989,0.59756158536585
"6741",NA,0.6284544524,22500,31200,0.0798838054,NA,0.432,NA,21000,NA,12300,NA,NA,NA
"4850",NA,0.5988700565,13900,18600,NA,NA,0.114,NA,NA,NA,7100,NA,NA,NA
"5578",0.122,NA,20200,25800,NA,NA,0.277,NA,NA,NA,11700,NA,NA,NA
"4555",0.103,0.5546852335,24200,33400,0.0614472123,NA,0.46,NA,22000,NA,11700,NA,NA,NA
"6795",0.06,0.5019920319,19700,27900,0.1040955631,NA,0.297,NA,16500,NA,7600,NA,NA,NA
"2210",0.141,0.3797468354,21200,28300,0.1151832461,NA,0.34,NA,17700,NA,10200,NA,NA,NA
"1439",0.099,0.513562387,29900,39200,0.1607717042,NA,0.563,0.2417,26300,0.5158,16100,NA,0.48844158415841,0.52782
"6667",0.285,0.4916666667,NA,NA,0.0882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7671",0.057,NA,NA,NA,0.1507936508,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6595",0.16,0.5394716354,22200,29800,0.0424497197,NA,0.366,NA,19500,NA,10800,NA,NA,NA
"1423",0.251,0.5033123028,24900,34600,0.0782042941,6652,0.448,NA,22400,NA,11600,10474,NA,NA
"5699",0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5446",0.166,0.5660377358,14100,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA
"7093",NA,0.4574132492,NA,NA,NA,3443,NA,NA,NA,NA,NA,NA,NA,NA
"4116",0.024,0.3146341463,38200,50600,0.1972318339,NA,0.727,0.3624,38000,0.6293,23700,NA,0.593318,0.53131829268292
"5348",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.94544909090909,0.40819795918367
"2922",0.109,0.3777777778,32300,45700,0.1647058824,NA,0.585,0.125,28800,0.3563,17100,NA,0.32554790697674,0.2886649484536
"758",0.03,0.3174794785,46300,57600,0.1463359892,11778,0.731,0.672,47000,0.8866,23600,14703,0.8702280611449,0.86043759539236
"6965",0.29,0.4202898551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2127",0.148,0.5140186916,NA,NA,0.1111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4435",NA,0.5494505495,25800,NA,NA,4242,0.481,NA,NA,NA,NA,NA,NA,NA
"829",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0.6667,30800,0.6667,20000,NA,NA,NA
"6309",0.175,0.5595880333,26000,34000,0.0744742427,NA,0.457,NA,23000,NA,12100,NA,NA,NA
"2387",0.213,0.5538171691,23000,31600,0.0558375635,NA,0.399,NA,19400,0.3226,10300,NA,0.32039708737864,NA
"5875",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"2008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1641",0.011,0.1860465116,59800,70900,0.1283112583,NA,0.916,0.827,58300,0.9156,44900,NA,0.87725316122233,0.88120594059405
"3877",0.044,0.2775862069,38800,51200,0.1826371826,NA,0.712,0.4991,37400,0.5864,22200,NA,0.57195136612021,0.55256948453608
"2018",0.084,0.4469736161,32100,39500,0.1847619048,NA,0.675,0.3667,29100,0.5276,21600,NA,0.4807,0.4651353488372
"7692",0.116,0.5214854804,NA,NA,0.0731064995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3889",0.088,0.4683098592,39100,51200,0.1993670886,NA,0.706,0.2265,29800,0.4505,22800,NA,0.32839406779661,0.41901465295629
"4220",0.128,0.3758489217,17800,23800,0.048524343,NA,0.226,0.1324,17200,NA,7800,NA,0.36115770065075,0.42065014970059
"969",0.083,0.3573595004,32500,42000,0.1655806182,15897,0.587,0.121,30700,0.3617,17300,18485,0.36862480586712,0.36073135240211
"1922",0.215,0.3987813135,31300,41700,0.0777815934,14188,0.53,NA,25900,NA,13900,17967,NA,NA
"5381",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"7204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",0.173,0.4467532468,22600,31200,0.0740740741,NA,0.403,0.1676,21500,NA,10400,NA,0.39223247863247,0.42744150731158
"5718",0.019,0.3996120272,48200,NA,0.0893155259,NA,0.836,NA,NA,0.7442,NA,NA,0.74095751295336,NA
"7101",0.206,0.5221782448,NA,NA,0.0562410035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6131",0.205,0.4373040752,26700,35000,0.1288088643,NA,0.48,NA,23300,0.5,12400,NA,NA,NA
"2309",0.046,0.4735294118,34100,44700,0.1522248244,NA,0.613,0.3924,28800,0.5435,18300,NA,0.52832704402515,0.55903472222222
"4864",0.181,0.5100738751,30300,40400,0.060199005,NA,0.562,NA,27500,NA,16200,NA,NA,NA
"7137",0.218,0.505571747,NA,NA,0.0652173913,3444,NA,NA,NA,NA,NA,7407,NA,NA
"7139",NA,0.5263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545",0.141,0.4020356234,26700,35600,0.1264280274,8773,0.486,NA,24500,NA,13900,13736,NA,NA
"1965",0.041,0.2363523573,35700,45000,0.1816355811,17620,0.739,0.3164,33900,0.5774,24500,19725,0.568243594753,0.54997994152046
"1238",0.076,0.3802197802,31200,39600,0.2016293279,NA,0.628,0.3986,26900,0.4915,20100,NA,0.44633489932885,0.55513539651837
"2411",0.11,0.5435992579,19200,25600,0.0545718433,NA,0.277,NA,17100,NA,8900,NA,NA,NA
"3816",0.073,0.4662068966,33500,45100,0.1283863369,NA,0.62,0.209,30600,0.4394,16900,NA,0.40776286407767,0.41175966386554
"6911",NA,0.3327171904,NA,NA,0.0575427683,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3821",NA,0.4921968788,30400,42800,0.1242718447,16453,0.5,NA,27900,NA,13800,18079,NA,NA
"1927",0.043,0.2077028886,31100,38800,0.1778907243,14326,0.647,0.5362,25700,0.7028,20400,18649,0.65119370725034,0.61646383561643
"348",NA,0.5363278975,27900,37200,0.081955202,NA,0.519,NA,26300,NA,14200,NA,NA,NA
