"","x"
"1654",0.016
"1655",0.04
"1656",0.038
"1657",0.057
"1658",0.078
"1659",0.171
"1660",0.179
"1661",0.138
"1662",0.132
"1663",0.157
"1664",0.183
"1665",0.179
"1666",0.156
"1667",0.096
"1668",0.122
"1669",0.17
"1670",0.088
"1671",0.173
"1672",0.049
"1673",0.078
"1674",0.078
"1675",0.048
"1676",0.183
"1677",0.182
"1678",0.19
"1679",0.031
"1680",0.071
"1681",0.133
"1682",0.051
"1683",0.159
"1684",0.249
"1685",0.172
"1686",0.043
"1687",0.114
"1688",0.028
"1689",0.082
"1690",0.017
"1691",0.204
"1692",0.207
"1693",0.09
"1694",0.229
"1695",0.061
"1696",0
"1697",0.211
"1698",0.083
"1699",0.145
"1700",0.113
"1701",0.053
"1702",0.185
"1703",0.166
"1704",0.057
"1705",0.053
"1706",0.027
"1707",0.027
"1708",0.175
"1709",0.004
"1710",0.023
"1711",0.044
"1712",0.137
"1713",0.015
"1714",0.148
"1715",0.25
"1716",0.174
"1717",0.142
"1718",0.228
"1719",0.147
"1720",0.014
"1721",0.032
"1722",0
"1723",0.148
"1724",0.236
"1725",0.245
"1726",0.074
"1727",0.105
"1728",0.178
"1729",0.116
"1730",0
"1731",0.022
"1732",0.146
"1733",0.044
"1734",0.141
"1735",0.007
"1736",0.007
"1737",0.132
"1738",0.234
"1739",0.059
"1740",0.026
"1741",0.078
"1742",0.067
"1743",0.056
"1744",0.215
"1745",0.116
"1746",0.244
"1747",0.087
"1748",0.028
"1749",0.043
"1750",0.164
"1751",0.116
"1752",0.059
"1753",0.133
"1754",0.206
"1755",0.225
"1756",0.122
"1757",0.046
"1758",0.13
"1759",0.029
"1760",0.01
"1761",0.038
"1762",0.141
"1763",0.158
"1764",0.336
"1765",0.136
"1766",0.01
"1767",0.122
"1768",0.141
"1769",0.054
"1770",0.002
"1771",0.027
"1772",0.005
"1773",0.039
"1774",0.035
"1775",0.021
"1776",0.115
"1777",0.049
"1778",0.109
"1779",0.253
"1780",0.066
"1781",0.061
"1782",0.107
"1783",0.136
"1784",0.157
"1785",0.136
"1786",0.041
"1787",0.003
"1788",0.136
"1789",0.155
"1790",0.069
"1791",0.099
"1792",0.18
"1793",0.251
"1794",0.103
"1795",0.189
"1796",0.209
"1797",0.104
"1798",0.237
"1799",0.194
"1800",0.233
"1801",0.127
"1802",0.211
"1803",0.221
"1804",0.054
"1805",0.08
"1806",0.075
"1807",0.164
"1808",0.061
"1809",0.244
"1810",0.079
"1811",0.249
"1812",0.208
"1813",0.221
"1814",0.217
"1815",0.11
"1816",0.034
"1817",0.136
"1818",0.023
"1819",0.082
"1820",0
"1821",0.064
"1822",0.068
"1823",0.188
"1824",0.089
"1825",0.137
"1826",0.076
"1827",0.045
"1828",0.2
"1829",0.085
"1830",0.084
"1831",0.088
"1832",0.121
"1833",0.052
"1834",0.145
"1835",0.143
"1836",0.081
"1837",0.01
"1838",0.078
"1839",0.026
"1840",0.184
"1841",0.081
"1842",0.152
"1843",0.205
"1844",0.078
"1845",0.094
"1846",0.201
"1847",0.064
"1848",0.061
"1849",0.082
"1850",0.135
"1851",0.211
"1852",0.079
"1853",0.256
"1854",0.073
"1855",0.12
"1856",0.215
"1857",0.225
"1858",0.161
"1859",0.008
"1860",0.102
"1861",0.016
"1862",0.129
"1863",0.207
"1864",0.034
"1865",0.076
"1866",0.023
"1867",0.182
"1868",0.055
"1869",0.097
"1870",0.229
"1871",0.248
"1872",0.03
"1873",0.233
"1874",0.15
"1875",0.059
"1876",0.284
"1877",0.226
"1878",0.125
"1879",0.116
"1880",0.156
