"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"3318",0.495601173,25700,32900,0.0904392765,9624.65620094192,0.507,0.326050843593251
"3319",0.5026385224,32300,44200,0.0925925926,4441,0.525,0.326050843593251
"3320",0.5107142857,32700,43400,0.0770190209,4963,0.591,0.326050843593251
"3321",0.4836931557,26600,36100,0.0633369526,6271,0.495,0.326050843593251
"3322",0.4746364746,29100,40000,0.0873696836,2214,0.507,0.326050843593251
"3323",0.47186444148188,18300,40187.6009768927,0.112368633963963,9624.65620094192,0.222,0.326050843593251
"3324",0.4930345245,27900,36800,0.1231808732,6884,0.489,0.326050843593251
"3325",0.493543759,26100,35600,0.146039604,5293,0.465,0.326050843593251
"3326",0.3712871287,40900,52000,0.1378555799,9624.65620094192,0.712,0.1921
"3327",0.4601984031,31500,42000,0.1262196388,5723,0.579,0.326050843593251
"3328",0.4141486811,35900,47200,0.1361087144,14165,0.664,0.1953
"3329",0.4372427984,27400,40900,0.1095280499,9624.65620094192,0.452,0.326050843593251
"3330",0.4918699187,29000,39900,0.1028368794,9624.65620094192,0.531,0.326050843593251
"3331",0.3352898019,39200,51000,0.1566509115,9624.65620094192,0.669,0.3793
"3332",0.415,33400,42200,0.1936936937,9624.65620094192,0.664,0.3103
"3333",0.5035971223,32700,45200,0.0718562874,9624.65620094192,0.58,0.326050843593251
"3334",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3335",0.1585365854,37300,46700,0.1473477407,9624.65620094192,0.686,0.6334
"3336",0.5111455108,28700,38800,0.0906515581,4884,0.473,0.326050843593251
"3337",0.5575632421,17700,25800,0.0782778865,9624.65620094192,0.266,0
"3338",0.3722527473,33400,44100,0.2025316456,9624.65620094192,0.63,0.2881
"3339",0.47375,33500,40800,0.1556818182,6637,0.701,0.326050843593251
"3340",0.4417435038,32200,41700,0.145355999,9263,0.638,0.31
"3341",0.5820970581,28100,37800,0.0659955257,5353,0.519,0.326050843593251
"3342",0.5774681153,27900,36800,0.0548567435,6522,0.504,0.326050843593251
"3343",0.5141242938,24300,31700,0.063843937,3364,0.378,0.326050843593251
